startYear	startMonth	startDay	startHour	startMinute	endYear	endMonth	endDay	endHour	endMinute	durationHour	durationMinute
2020	5	21	2	40	2020	5	21	5	0	02	20
2020	6	6	1	45	2020	6	6	8	5	06	20
2020	6	7	10	0	2020	6	7	12	35	02	35
2020	9	15	14	0	2020	9	15	16	10	02	10
2021	5	25	10	25	2021	5	25	13	5	02	40
2021	7	20	12	25	2021	7	20	16	20	03	55
2021	7	25	1	10	2021	7	25	3	25	02	15
2021	7	29	14	35	2021	7	29	16	40	02	05
2021	8	4	19	45	2021	8	5	1	15	05	30
2021	8	6	1	30	2021	8	6	6	55	05	25
2021	8	8	16	25	2021	8	8	19	40	03	15
2021	8	18	16	5	2021	8	18	18	20	02	15
2021	8	19	12	0	2021	8	19	15	40	03	40
2021	10	8	10	20	2021	10	8	19	25	09	05
2022	5	12	3	7	2022	5	12	6	40	03	33
2022	5	12	21	30	2022	5	13	1	0	03	30
2022	8	17	15	50	2022	8	17	18	15	02	25
2022	9	1	16	30	2022	9	1	19	20	02	50
2023	5	23	5	55	2023	5	23	9	20	03	25
2023	8	19	12	55	2023	8	19	15	25	02	30
2023	8	29	15	0	2023	8	29	19	45	04	45
2023	9	1	22	5	2023	9	2	4	30	06	25
2023	9	7	19	50	2023	9	8	15	40	19	50
