2000	5	29	16	30	2000	5	31	16	45	48	15
2000	6	2	16	30	2000	6	6	16	30	96	0
2000	6	27	16	30	2000	7	1	16	30	96	0
2000	7	4	11	45	2000	7	5	16	35	28	50
2000	7	24	16	30	2000	7	27	16	30	72	0
2000	7	28	13	35	2000	7	30	16	30	50	55
2000	8	10	7	35	2000	8	11	16	30	32	55
2000	8	12	11	15	2000	8	12	16	30	5	15
2000	8	13	12	45	2000	8	13	15	30	2	45
2000	8	14	13	25	2000	8	14	16	30	3	5
2000	8	20	7	45	2000	8	20	16	45	9	0
2000	8	22	12	0	2000	8	23	7	0	19	0
2001	6	22	12	0	2001	6	23	16	30	28	30
2001	7	9	16	30	2001	7	11	16	30	48	0
2001	7	23	11	45	2001	7	24	11	45	24	0
2001	7	29	8	0	2001	7	30	16	30	32	30
2001	7	31	12	50	2001	7	31	18	0	5	10
2001	8	8	7	45	2001	8	9	16	30	32	45
2001	8	19	8	0	2001	8	19	13	10	5	10
2001	8	20	9	50	2001	8	21	16	30	30	40
2001	8	23	7	45	2001	8	24	17	0	33	15
2001	8	25	11	45	2001	8	25	16	30	4	45
2001	9	16	9	45	2001	9	17	17	35	31	50
2001	9	18	11	45	2001	9	18	18	0	6	15
2001	9	19	12	0	2001	9	19	16	30	4	30
2002	6	24	15	30	2002	6	28	16	30	97	0
2002	7	3	7	45	2002	7	4	13	45	30	0
2002	7	5	13	55	2002	7	6	6	0	16	5
2002	7	12	7	45	2002	7	14	16	30	56	45
2002	7	15	12	20	2002	7	15	16	45	4	25
2002	8	28	16	0	2002	8	30	15	20	47	20
2002	9	6	7	30	2002	9	7	16	30	33	0
2003	6	24	7	45	2003	6	24	16	0	8	15
2003	7	1	5	45	2003	7	6	16	45	131	0
2003	7	8	7	45	2003	7	8	16	30	8	45
2003	7	9	11	30	2003	7	10	10	45	23	15
2003	7	12	16	30	2003	7	16	17	15	96	45
2003	8	3	7	30	2003	8	4	7	15	23	45
2003	8	10	7	45	2003	8	10	17	0	9	15
2003	9	1	7	45	2003	9	1	22	15	14	30
2004	6	20	10	45	2004	6	20	16	30	5	45
2004	6	28	10	0	2004	7	2	16	30	102	30
2004	8	10	6	40	2004	8	11	6	30	23	50
2004	8	17	16	15	2004	8	18	9	20	17	5
2004	8	19	9	45	2004	8	19	16	30	6	45
2004	8	24	6	45	2004	8	24	14	0	7	15
2004	8	25	6	45	2004	8	25	17	15	10	30
2005	7	4	14	5	2005	7	6	19	5	53	0
2005	7	16	11	45	2005	7	21	16	30	124	45
2005	8	4	6	30	2005	8	4	17	45	11	15
2005	8	6	14	25	2005	8	6	18	25	4	0
2005	9	1	6	45	2005	9	1	16	30	7	15
2005	9	22	11	0	2005	9	22	20	0	9	0
2006	6	23	16	30	2006	6	25	16	20	47	50
2006	7	12	6	35	2006	7	13	23	15	40	40
2006	7	24	6	0	2006	7	25	19	30	37	30
2007	5	26	12	45	2007	5	26	16	20	3	35
2007	5	29	13	30	2007	5	30	16	20	26	50
2007	6	1	14	35	2007	6	2	16	30	25	55
2007	6	3	7	45	2007	6	3	16	20	8	35
2007	6	21	9	55	2007	6	21	13	45	3	50
2007	7	14	14	35	2007	7	15	6	45	16	10
2007	7	15	13	45	2007	7	16	16	20	26	35
2007	7	24	14	20	2007	8	5	12	30	286	10
2007	8	18	15	30	2007	8	18	21	45	6	15
2008	6	21	6	30	2008	6	23	16	40	58	10
2008	7	21	14	30	2008	7	22	16	20	25	50
2008	7	26	16	20	2008	7	28	23	15	54	55
2008	8	3	14	30	2008	8	4	18	0	27	30
2008	8	18	14	0	2008	8	21	7	45	65	45
2008	8	21	14	35	2008	8	21	20	15	5	40
2008	9	13	13	0	2008	9	14	18	0	29	0
2008	9	15	13	25	2008	9	16	17	55	28	30
2008	9	17	11	45	2008	9	18	8	45	21	0
2008	9	22	15	25	2008	9	23	6	45	15	20
2009	7	9	15	20	2009	7	10	23	45	32	25
2009	7	13	15	15	2009	7	14	16	10	24	55
2009	7	16	12	0	2009	7	18	15	50	51	50
2009	7	26	12	45	2009	7	26	14	30	1	45
2009	8	1	6	45	2009	8	3	15	40	56	55
